Category: All categories,
,
Month,low carb: (United States)
2004-01,100
2004-02,70
2004-03,55
2004-04,48
2004-05,59
2004-06,54
2004-07,46
2004-08,38
2004-09,31
2004-10,28
2004-11,29
2004-12,20
2005-01,37
2005-02,27
2005-03,28
2005-04,25
2005-05,22
2005-06,21
2005-07,21
2005-08,19
2005-09,16
2005-10,16
2005-11,14
2005-12,12
2006-01,22
2006-02,18
2006-03,17
2006-04,16
2006-05,15
2006-06,16
2006-07,16
2006-08,15
2006-09,14
2006-10,14
2006-11,13
2006-12,11
2007-01,21
2007-02,16
2007-03,17
2007-04,16
2007-05,15
2007-06,16
2007-07,16
2007-08,14
2007-09,14
2007-10,14
2007-11,14
2007-12,11
2008-01,21
2008-02,16
2008-03,16
2008-04,15
2008-05,14
2008-06,15
2008-07,19
2008-08,17
2008-09,14
2008-10,14
2008-11,12
2008-12,11
2009-01,20
2009-02,15
2009-03,15
2009-04,16
2009-05,15
2009-06,16
2009-07,15
2009-08,15
2009-09,14
2009-10,14
2009-11,13
2009-12,11
2010-01,19
2010-02,17
2010-03,16
2010-04,17
2010-05,15
2010-06,15
2010-07,14
2010-08,18
2010-09,14
2010-10,14
2010-11,12
2010-12,10
2011-01,25
2011-02,22
2011-03,23
2011-04,21
2011-05,21
2011-06,20
2011-07,19
2011-08,19
2011-09,17
2011-10,17
2011-11,16
2011-12,14
2012-01,25
2012-02,23
2012-03,22
2012-04,22
2012-05,22
2012-06,22
2012-07,23
2012-08,22
2012-09,21
2012-10,18
2012-11,16
2012-12,14
2013-01,27
2013-02,24
2013-03,23
2013-04,23
2013-05,21
2013-06,22
2013-07,22
2013-08,21
2013-09,20
2013-10,20
2013-11,19
2013-12,15
2014-01,29
2014-02,25
2014-03,25
2014-04,23
2014-05,23
2014-06,23
2014-07,24
2014-08,25
2014-09,26
2014-10,23
2014-11,20
2014-12,17
2015-01,32
2015-02,26
2015-03,27
2015-04,25
2015-05,25
2015-06,26
2015-07,26
2015-08,25
2015-09,23
2015-10,22
2015-11,20
2015-12,17
2016-01,33
2016-02,29
2016-03,28
2016-04,29
2016-05,28
2016-06,28
2016-07,28
2016-08,28
2016-09,27
2016-10,26
2016-11,22
2016-12,21
2017-01,43
2017-02,37
2017-03,39
2017-04,37
2017-05,35
2017-06,37
2017-07,38
2017-08,35
2017-09,32
2017-10,33
2017-11,30
2017-12,26
2018-01,54
2018-02,45
2018-03,44
2018-04,45
2018-05,43
2018-06,45
2018-07,46
2018-08,45
2018-09,40